,Unnamed: 0,BP_date,address,apn,best_date,best_stat,comp_date,con_date,dbi_permit,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,units,unitsnet,x,y,zoning,zoning_simplified,project_time_years,geometry,index_right,nhood,zone_class
2372,12602,2011-12-14,2001 MARKET ST,3535001,2013-08-12,CONSTRUCTION,10/01/2013,2012-10-17,201012206990,2008-05-08,2008-06-13,2008-05-08,2013-08-12,CONSTRUCTION,"('2008-06-13', '2008-06-13', '2008-06-13', '2008-06-13', '2008-06-13', '2010-12-20', '2010-12-20', '2010-12-20', '2010-12-20', '2011-12-14', '2011-12-14', '2011-12-14', '2012-10-17', '2012-12-12', '2013-04-25', '2013-06-28', '2013-08-12')",1972.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2013,Under Construction,82.0,82.0,-122.427111,37.76832,NCT-3,NCT-3,5.402739726027397,POINT (-122.427111 37.76832),2,Castro/Upper Market,Nhb Commercial
20,519,,860 VALLEJO ST,0129013A,2009-02-02,CONSTRUCTION,10/01/2009,2009-02-02,200411240118,2002-11-13,2009-02-02,2002-11-13,2009-02-02,CONSTRUCTION,"('2009-02-02',)",2514.0,"('CONSTRUCTION',)",3,2009,Under Construction,2.0,2.0,-122.411435,37.798385,RM-2,RM-2,6.887671232876713,POINT (-122.411435 37.798385),3,Chinatown,Industrial
1878,21899,2014-08-20,778 VALLEJO ST,0130020,2015-10-22,CONSTRUCTION,01/01/2016,2015-03-27,201311051179.0,2013-11-05,2013-11-05,2013-11-05,2015-10-22,CONSTRUCTION,"('2013-11-05', '2013-11-05', '2013-11-05', '2014-08-20', '2015-03-27', '2015-04-06', '2015-06-15', '2015-10-22', '2015-10-22')",787.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,1.0,1.0,-122.410102329,37.7986075252,NCD,NCD,2.1561643835616437,POINT (-122.410102329 37.7986075252),3,Chinatown,Nhb Commercial
1634,27596,,605 KEARNY ST,0226007,2012-08-17,CONSTRUCTION,01/01/2017,2012-08-17,201207104487,2012-07-10,2012-07-10,2012-07-10,2012-08-17,CONSTRUCTION,"('2012-07-10', '2012-08-17', '2012-08-17', '2012-08-17', '2012-08-17', '2012-08-17', '2012-08-17', '2012-08-17', '2012-08-17', '2012-08-17', '2012-08-17', '2012-08-17', '2012-08-17', '2012-08-17', '2012-08-17', '2012-08-17', '2012-08-17', '2012-08-17')",1636.0,"('BP FILED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2016,Under Construction,1.0,1.0,-122.404824152,37.793709515799996,CCB,CCB,4.482191780821918,POINT (-122.404824152 37.7937095158),3,Chinatown,Other
1325,14059,2013-05-16,850 BRUNSWICK ST,6472007,2013-09-12,CONSTRUCTION,01/01/2014,2013-08-28,201208298537,2012-08-29,2012-08-29,2012-08-29,2013-09-12,CONSTRUCTION,"('2012-08-29', '2012-08-29', '2012-08-29', '2013-05-16', '2013-08-28', '2013-09-12')",490.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",4,2013,Under Construction,1.0,1.0,-122.451291,37.708404,RH-1,RH-1,1.3424657534246576,POINT (-122.451291 37.708404),4,Excelsior,Conventional Residential
1812,12247,2011-01-25,5735 MISSION ST,6473040,2012-09-17,CONSTRUCTION,07/01/2013,2012-09-17,200909026074,2009-01-22,2009-09-02,2009-01-22,2012-09-17,CONSTRUCTION,"('2009-09-02', '2009-09-02', '2009-09-02', '2009-09-02', '2009-09-02', '2011-01-25', '2011-02-18', '2011-02-18', '2011-02-18', '2011-02-18', '2011-02-18', '2011-02-18', '2012-09-17', '2012-09-17', '2012-09-17', '2012-09-17')",1621.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2013,Under Construction,20.0,20.0,-122.44898899999998,37.709939,NC-2,NC-2,4.441095890410959,POINT (-122.448989 37.70993900000001),4,Excelsior,Standard Commercial
1270,22223,2015-06-22,1160 PRAGUE ST,6484024,2015-10-08,CONSTRUCTION,01/01/2016,2015-10-08,201503302274.0,2015-03-30,2015-03-30,2015-03-30,2015-10-08,CONSTRUCTION,"('2015-03-30', '2015-06-22', '2015-10-08', '2015-10-08')",277.0,"('BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,1.0,1.0,-122.43908736700001,37.7102713563,RH-1(D),RH-1(D),0.7589041095890411,POINT (-122.439087367 37.7102713563),4,Excelsior,Conventional Residential
2398,22034,2013-01-02,717 PARIS ST,6349021,2015-04-22,CONSTRUCTION,01/01/2016,2014-05-23,201009070276.0,2010-09-07,2010-09-07,2010-09-07,2015-04-22,CONSTRUCTION,"('2010-09-07', '2010-09-07', '2011-03-29', '2011-03-29', '2011-03-29', '2011-03-29', '2011-03-29', '2011-03-29', '2011-03-29', '2011-03-29', '2013-01-02', '2013-06-21', '2013-06-21', '2013-06-21', '2013-06-21', '2014-05-23', '2014-09-25', '2015-01-29', '2015-04-22', '2015-04-22', '2015-04-22', '2015-04-22')",1942.0,"('BP FILED', 'BP FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,1.0,1.0,-122.437801596,37.7174387827,RH-1,RH-1,5.32054794520548,POINT (-122.437801596 37.7174387827),4,Excelsior,Conventional Residential
1209,2301,,641 LISBON ST,6343026A,2009-12-09,CONSTRUCTION,04/01/2010,2009-09-01,200705111056,2007-05-11,2009-09-01,2007-05-11,2009-12-09,CONSTRUCTION,"('2009-09-01', '2009-12-09', '2009-12-09')",1056.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2010,Under Construction,1.0,1.0,-122.436323,37.718153,RH-1,RH-1,2.893150684931507,POINT (-122.436323 37.718153),4,Excelsior,Conventional Residential
1832,12826,2010-06-09,626 PARIS ST,6345007,2013-06-10,CONSTRUCTION,10/01/2013,2012-03-09,200611087240,2006-11-08,2006-11-08,2006-11-08,2013-06-10,CONSTRUCTION,"('2006-11-08', '2006-11-08', '2006-11-08', '2010-06-09', '2010-09-10', '2010-09-10', '2010-09-10', '2010-09-10', '2010-09-10', '2010-09-10', '2012-03-09', '2012-03-09', '2012-03-09', '2012-03-09', '2013-04-16', '2013-06-10', '2013-06-10')",2519.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2013,Under Construction,1.0,1.0,-122.437309,37.718855,RH-1,RH-1,6.901369863013699,POINT (-122.437309 37.718855),4,Excelsior,Conventional Residential
725,7005,2011-02-25,591 NAPLES ST,6090015A,2011-07-08,CONSTRUCTION,10/01/2011,2011-05-24,201006033776,2010-06-03,2010-06-03,2010-06-03,2011-07-08,CONSTRUCTION,"('2010-06-03', '2010-06-03', '2010-06-03', '2011-02-25', '2011-05-24', '2011-07-08')",485.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",3,2011,Under Construction,2.0,,-122.43201,37.719341,RH-2,RH-2,1.3287671232876712,POINT (-122.43201 37.719341),4,Excelsior,Conventional Residential
1935,655,,599 NAPLES ST,6090015,2009-08-31,CONSTRUCTION,10/01/2009,2009-08-31,200812309364,2008-12-30,2009-08-31,2008-12-30,2009-08-31,CONSTRUCTION,"('2009-08-31',)",275.0,"('CONSTRUCTION',)",3,2009,Under Construction,1.0,1.0,-122.432116,37.719408,RH-2,RH-2,0.7534246575342466,POINT (-122.432116 37.719408),4,Excelsior,Conventional Residential
317,22340,2015-02-27,379 LISBON ST,6080027,2016-01-11,CONSTRUCTION,01/01/2016,2015-10-14,201408194209.0,2014-08-19,2014-08-19,2014-08-19,2016-01-11,CONSTRUCTION,"('2014-08-19', '2015-02-27', '2015-02-27', '2015-02-27', '2015-10-14', '2016-01-11')",500.0,"('BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,1.0,1.0,-122.43310048200001,37.7222153107,RH-1,RH-1,1.36986301369863,POINT (-122.433100482 37.7222153107),4,Excelsior,Conventional Residential
1810,3089,,331 LISBON ST,6080039,2010-03-26,CONSTRUCTION,07/01/2010,2009-09-15,200605020421,2006-05-02,2009-09-15,2006-05-02,2010-03-26,CONSTRUCTION,"('2009-09-15', '2009-12-04', '2010-03-26', '2010-03-26')",1521.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2010,Under Construction,1.0,1.0,-122.432699,37.722953,RH-1,RH-1,4.167123287671233,POINT (-122.432699 37.722953),4,Excelsior,Conventional Residential
2853,22016,,4847 MISSION ST,6272018,2009-02-25,CONSTRUCTION,01/01/2016,2009-02-25,200801112324.0,2008-01-11,2009-02-25,2008-01-11,2009-02-25,CONSTRUCTION,"('2009-02-25', '2009-02-25', '2009-02-25', '2009-02-25', '2009-02-25', '2009-02-25', '2009-02-25', '2009-02-25', '2009-02-25', '2009-02-25', '2009-02-25', '2009-02-25', '2009-02-25', '2009-02-25', '2009-02-25', '2009-02-25', '2009-02-25', '2009-02-25', '2009-02-25', '2009-02-25', '2009-02-25', '2009-02-25', '2009-02-25', '2009-02-25', '2009-02-25', '2009-02-25')",2912.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,1.0,1.0,-122.43747423299999,37.720705243699996,NCD,NCD,7.978082191780822,POINT (-122.437474233 37.7207052437),4,Excelsior,Nhb Commercial
3258,17772,2013-06-14,1310 GENEVA AV,6415022,2013-12-17,CONSTRUCTION,01/01/2015,2013-12-17,201301047264.0,2013-01-04,2013-01-04,2013-01-04,2013-12-17,CONSTRUCTION,"('2013-01-04', '2013-06-14', '2013-06-14', '2013-12-17', '2013-12-17', '2013-12-17', '2013-12-17', '2013-12-17')",727.0,"('BP FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2014,Under Construction,1.0,1.0,-122.434409,37.713102,RH-1,RH-1,1.9917808219178081,POINT (-122.434409 37.713102),4,Excelsior,Conventional Residential
680,18867,2013-06-24,524 VIENNA ST,6090004,2013-10-17,CONSTRUCTION,04/01/2015,2013-10-17,201010072487.0,2010-10-07,2010-10-07,2010-10-07,2013-10-17,CONSTRUCTION,"('2010-10-07', '2010-10-07', '2010-10-07', '2010-10-07', '2010-10-07', '2010-10-07', '2010-10-07', '2010-10-07', '2010-10-07', '2010-10-07', '2013-06-24', '2013-06-24', '2013-10-17', '2013-10-17', '2013-10-17', '2013-10-17', '2013-10-17', '2013-10-17')",1637.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2015,Under Construction,1.0,1.0,-122.431000294,37.7201407647,RH-1,RH-1,4.484931506849315,POINT (-122.431000294 37.7201407647),4,Excelsior,Conventional Residential
830,27714,2016-06-22,78 NEY ST,5892032,2016-11-09,CONSTRUCTION,01/01/2017,2016-08-17,201603010912,2016-03-01,2016-03-01,2016-03-01,2016-11-09,CONSTRUCTION,"('2016-03-01', '2016-06-22', '2016-08-17', '2016-11-09')",306.0,"('BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",4,2016,Under Construction,1.0,1.0,-122.428701409,37.7298182649,RH-1,RH-1,0.8383561643835616,POINT (-122.428701409 37.7298182649),4,Excelsior,Conventional Residential
1001,5433,2009-08-20,55 TRUMBULL ST,5868007,2010-09-21,CONSTRUCTION,04/01/2011,2009-12-14,200612139733,2004-09-02,2009-08-20,2004-09-02,2010-09-21,CONSTRUCTION,"('2009-08-20', '2009-12-14', '2010-03-25', '2010-05-12', '2010-09-21', '2010-09-21', '2010-09-21')",2402.0,"('BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2011,Under Construction,18.0,18.0,-122.428379,37.73077,NC-2,NC-2,6.580821917808219,POINT (-122.428379 37.73077),4,Excelsior,Standard Commercial
1722,19429,2009-09-28,395 ATHENS ST,6022014,2014-06-11,CONSTRUCTION,07/01/2015,2011-04-12,200312243005.0,2003-12-24,2009-09-28,2003-12-24,2014-06-11,CONSTRUCTION,"('2009-09-28', '2009-09-28', '2010-01-05', '2010-01-05', '2010-01-05', '2010-01-05', '2010-01-05', '2011-04-12', '2011-04-12', '2011-04-12', '2011-04-12', '2011-04-12', '2011-04-12', '2011-04-12', '2011-04-12', '2011-04-12', '2011-04-12', '2013-11-15', '2014-03-18', '2014-06-11', '2014-06-11', '2014-06-11', '2014-06-11', '2014-06-11')",4207.0,"('BP ISSUED', 'BP ISSUED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2015,Under Construction,2.0,2.0,-122.42805269899999,37.7216831937,RH-2,RH-2,11.526027397260274,POINT (-122.428052699 37.7216831937),4,Excelsior,Conventional Residential
235,23442,2014-12-10,5 NAPLES ST,5948026B,2015-11-05,CONSTRUCTION,04/01/2016,2015-05-28,201402249169.0,2014-02-24,2014-02-24,2014-02-24,2015-11-05,CONSTRUCTION,"('2014-02-24', '2014-02-24', '2014-02-24', '2014-12-10', '2015-05-28', '2015-07-09', '2015-10-08', '2015-11-05', '2015-11-05')",767.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2016,Under Construction,1.0,1.0,-122.425196,37.7283480507,RH-1,RH-1,2.1013698630136988,POINT (-122.425196 37.7283480507),4,Excelsior,Conventional Residential
152,23213,2014-12-10,3 NAPLES ST,5948026A,2015-11-23,CONSTRUCTION,04/01/2016,2015-05-20,201402249163.0,2014-02-24,2014-02-24,2014-02-24,2015-11-23,CONSTRUCTION,"('2014-02-24', '2014-02-24', '2014-02-24', '2014-12-10', '2015-05-20', '2015-05-20', '2015-05-20', '2015-11-23', '2015-11-23')",767.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2016,Under Construction,1.0,1.0,-122.425151,37.7284069324,RH-1,RH-1,2.1013698630136988,POINT (-122.425151 37.7284069324),4,Excelsior,Conventional Residential
1694,23306,2013-06-07,35 LA GRANDE AV,5963042,2015-12-08,CONSTRUCTION,04/01/2016,2015-07-27,201207205437.0,2012-07-20,2012-07-20,2012-07-20,2015-12-08,CONSTRUCTION,"('2012-07-20', '2012-07-20', '2012-07-20', '2013-06-07', '2013-06-07', '2013-06-07', '2013-06-07', '2013-06-07', '2013-06-07', '2013-06-07', '2013-06-07', '2015-07-27', '2015-09-23', '2015-12-08', '2015-12-08')",1351.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2016,Under Construction,1.0,1.0,-122.423735,37.7246538358,RH-1,RH-1,3.7013698630136984,POINT (-122.423735 37.7246538358),4,Excelsior,Conventional Residential
1752,27177,2011-03-10,268 MADISON ST,5943008,2014-01-08,CONSTRUCTION,01/01/2017,2013-07-25,200711077587,2007-11-07,2007-11-07,2007-11-07,2014-01-08,CONSTRUCTION,"('2007-11-07', '2007-11-07', '2007-11-07', '2007-11-07', '2007-11-07', '2007-11-07', '2011-03-10', '2011-06-06', '2011-06-06', '2011-06-06', '2011-06-06', '2011-06-06', '2011-06-06', '2011-06-06', '2011-06-06', '2011-06-06', '2013-07-25', '2013-09-13', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08')",3343.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2016,Under Construction,1.0,1.0,-122.422803576,37.725722446700004,RH-1,RH-1,9.158904109589042,POINT (-122.422803576 37.7257224467),4,Excelsior,Conventional Residential
612,19878,,262 MADISON ST,5943008,2014-01-08,CONSTRUCTION,07/01/2015,2014-01-08,200711077585.0,2007-11-07,2014-01-08,2007-11-07,2014-01-08,CONSTRUCTION,"('2014-01-08',)",2793.0,"('CONSTRUCTION',)",2,2015,Under Construction,1.0,1.0,-122.422803574,37.7257224458,RH-1,RH-1,7.652054794520548,POINT (-122.422803574 37.7257224458),4,Excelsior,Conventional Residential
2275,16720,,268 MADISON ST,5943051,2014-01-08,CONSTRUCTION,10/01/2014,2013-07-25,200711077587.0,2007-11-07,2013-07-25,2007-11-07,2014-01-08,CONSTRUCTION,"('2013-07-25', '2013-09-13', '2014-01-08', '2014-01-08', '2014-01-08')",2520.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2014,Under Construction,1.0,1.0,-122.422527,37.725698,RH-1,RH-1,6.904109589041096,POINT (-122.422527 37.725698),4,Excelsior,Conventional Residential
2712,24415,2016-02-16,239 MAYNARD ST,5890010,2016-05-03,CONSTRUCTION,07/01/2016,2016-05-03,201508214997.0,2015-08-21,2015-08-21,2015-08-21,2016-05-03,CONSTRUCTION,"('2015-08-21', '2015-08-21', '2016-02-16', '2016-05-03')",315.0,"('BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION')",2,2016,Under Construction,1.0,1.0,-122.425136695,37.7296642748,RH-1,RH-1,0.863013698630137,POINT (-122.425136695 37.7296642748),4,Excelsior,Conventional Residential
2769,27108,2011-04-15,262 MADISON ST,5943050,2014-01-08,CONSTRUCTION,01/01/2017,2014-01-08,200711077585,2007-11-07,2011-04-15,2007-11-07,2014-01-08,CONSTRUCTION,"('2011-04-15', '2011-04-15', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08')",3343.0,"('BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2016,Under Construction,1.0,1.0,-122.42281704700001,37.7257550657,RH-1,RH-1,9.158904109589042,POINT (-122.422817047 37.7257550657),4,Excelsior,Conventional Residential
3316,22696,2015-12-30,1315 SILLIMAN ST,5938049,2016-03-11,CONSTRUCTION,04/01/2016,2016-03-11,201504214240.0,2015-04-21,2015-04-21,2015-04-21,2016-03-11,CONSTRUCTION,"('2015-04-21', '2015-04-21', '2015-12-30', '2016-03-11')",346.0,"('BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION')",1,2016,Under Construction,1.0,1.0,-122.418165,37.7276210028,RH-1,RH-1,0.947945205479452,POINT (-122.418165 37.72762100280001),4,Excelsior,Conventional Residential
3350,5511,2009-11-25,192 NEY ST,5891001,2010-08-10,CONSTRUCTION,04/01/2011,2010-06-11,200905228971,2009-05-22,2009-11-25,2009-05-22,2010-08-10,CONSTRUCTION,"('2009-11-25', '2009-11-25', '2010-06-11', '2010-08-10', '2010-08-10', '2010-08-10')",679.0,"('BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2011,Under Construction,1.0,,-122.426431,37.729986,RH-1,RH-1,1.8602739726027397,POINT (-122.426431 37.729986),4,Excelsior,Conventional Residential
1466,1341,,1 HAWTHORNE ST,3735047,2009-12-09,CONSTRUCTION,01/01/2010,2009-09-28,200509082369,2005-01-24,2009-09-28,2005-01-24,2009-12-09,CONSTRUCTION,"('2009-09-28', '2009-12-09')",1803.0,"('CONSTRUCTION', 'CONSTRUCTION')",4,2009,Under Construction,135.0,135.0,-122.399264,37.78588,C-3-O(SD),C-3-O(SD),4.93972602739726,POINT (-122.399264 37.78588),5,Financial District/South Beach,Standard Commercial
2078,6818,2009-08-04,19 TEHAMA ST,3736079,2011-08-29,CONSTRUCTION,10/01/2011,2011-01-21,200707308102,2008-05-21,2009-08-04,2008-05-21,2011-08-29,CONSTRUCTION,"('2009-08-04', '2009-08-04', '2009-08-04', '2009-08-04', '2009-08-04', '2011-01-21', '2011-02-25', '2011-06-16', '2011-08-29')",1228.0,"('BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2011,Under Construction,5.0,5.0,-122.395922,37.787584,C-3-O(SD),C-3-O(SD),3.3643835616438356,POINT (-122.395922 37.787584),5,Financial District/South Beach,Standard Commercial
294,12717,2011-03-09,25 ESSEX ST,3749064,2013-09-19,CONSTRUCTION,10/01/2013,2012-01-23,201003158191,2010-03-15,2010-03-15,2010-03-15,2013-09-19,CONSTRUCTION,"('2010-03-15', '2010-03-15', '2011-03-09', '2011-06-08', '2011-06-08', '2012-01-23', '2012-03-09', '2012-07-12', '2012-10-11', '2012-12-06', '2013-04-25', '2013-06-27', '2013-09-19')",1296.0,"('BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2013,Under Construction,120.0,120.0,-122.395689,37.78638,M-1,M-1,3.5506849315068494,POINT (-122.395689 37.78638),5,Financial District/South Beach,Industrial
1360,16448,2012-10-01,147 SOUTH PARK AV,3775031,2014-09-19,CONSTRUCTION,10/01/2014,2013-03-29,201102170507.0,2010-10-20,2010-10-20,2010-10-20,2014-09-19,CONSTRUCTION,"('2010-10-20', '2010-10-20', '2011-02-17', '2011-02-17', '2011-02-17', '2011-02-17', '2011-02-17', '2012-10-01', '2012-10-01', '2013-03-29', '2013-03-29', '2013-09-23', '2013-09-23', '2014-02-27', '2014-06-16', '2014-09-19')",1442.0,"('PL FILED', 'PL FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP REINSTATED', 'BP REINSTATED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2014,Under Construction,1.0,1.0,-122.3943111,37.78108020000001,SPD,SPD,3.9506849315068493,POINT (-122.3943111 37.78108020000001),5,Financial District/South Beach,Other
897,7190,2009-09-11,425 BRYANT ST,3775095,2011-08-25,CONSTRUCTION,10/01/2011,2010-03-10,200901140220,2007-09-27,2009-09-11,2007-09-27,2011-08-25,CONSTRUCTION,"('2009-09-11', '2009-09-11', '2010-03-10', '2010-03-10', '2010-08-16', '2011-01-11', '2011-01-27', '2011-05-10', '2011-08-25')",1465.0,"('BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2011,Under Construction,1.0,1.0,-122.394031,37.782572,MUO,MUO,4.013698630136986,POINT (-122.394031 37.782572),5,Financial District/South Beach,Other
1086,20076,2013-08-28,280 BEALE ST,3738004,2015-09-24,CONSTRUCTION,10/01/2015,2014-06-05,201304023626.0,2013-04-02,2013-04-02,2013-04-02,2015-09-24,CONSTRUCTION,"('2013-04-02', '2013-08-28', '2013-08-28', '2013-08-28', '2014-06-05', '2014-09-03', '2015-03-25', '2015-04-21', '2015-09-24')",912.0,"('BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2015,Under Construction,409.0,409.0,-122.393608537,37.788705738800004,TB DTR,TB DTR,2.4986301369863013,POINT (-122.393608537 37.7887057388),5,Financial District/South Beach,Other
