,Unnamed: 0,BP_date,address,apn,best_date,best_stat,comp_date,con_date,dbi_permit,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,units,unitsnet,x,y,zoning,zoning_simplified,project_time_years,geometry,index_right,nhood,zone_class
793,26021,2016-06-13,466 VERNON ST,6994039,2016-07-19,CONSTRUCTION,10/01/2016,2016-07-19,201407171522,2014-07-17,2014-07-17,2014-07-17,2016-07-19,CONSTRUCTION,"('2014-07-17', '2014-07-17', '2014-07-17', '2014-07-17', '2014-07-17', '2014-07-17', '2014-07-17', '2016-06-13', '2016-07-19')",807.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION')",3,2016,Under Construction,1.0,1.0,-122.46778985200001,37.7208822976,RH-1,RH-1,2.210958904109589,POINT (-122.467789852 37.7208822976),23,Oceanview/Merced/Ingleside,Conventional Residential
2359,27115,2015-05-04,60 SANTA BARBARA AV,7173011,2016-11-18,CONSTRUCTION,01/01/2017,2016-03-21,201404173481,2014-04-17,2014-04-17,2014-04-17,2016-11-18,CONSTRUCTION,"('2014-04-17', '2014-08-28', '2014-08-28', '2015-05-04', '2015-05-04', '2015-05-04', '2016-01-07', '2016-03-21', '2016-06-20', '2016-07-20', '2016-11-18')",990.0,"('BP FILED', 'PL FILED', 'PL FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2016,Under Construction,1.0,1.0,-122.465158535,37.7083664775,RH-1,RH-1,2.712328767123288,POINT (-122.465158535 37.7083664775),24,Outer Mission,Conventional Residential
130,2228,,16 ORIZABA AV,7155020,2008-12-18,CONSTRUCTION,04/01/2010,2008-12-18,200109188537,2001-09-18,2008-12-18,2001-09-18,2008-12-18,CONSTRUCTION,"('2008-12-18', '2008-12-18', '2008-12-18')",3117.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2010,Under Construction,1.0,1.0,-122.46246,37.709713,RH-1,RH-1,8.53972602739726,POINT (-122.46246 37.709713),24,Outer Mission,Conventional Residential
1999,24309,,5670 MISSION ST,7099009,2016-01-22,CONSTRUCTION,07/01/2016,2015-03-27,201310250236.0,2013-10-25,2013-10-25,2013-10-25,2016-01-22,CONSTRUCTION,"('2013-10-25', '2013-10-25', '2013-10-25', '2013-10-25', '2015-03-27', '2015-06-04', '2015-07-16', '2015-07-16', '2016-01-14', '2016-01-22', '2016-01-22')",980.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2016,Under Construction,2.0,2.0,-122.448632444,37.7104790943,NCD,NCD,2.684931506849315,POINT (-122.448632444 37.7104790943),24,Outer Mission,Nhb Commercial
2634,26040,2016-02-25,49 NAGLEE AV,7098001,2016-08-05,CONSTRUCTION,10/01/2016,2016-08-05,201507222207,2015-07-22,2015-07-22,2015-07-22,2016-08-05,CONSTRUCTION,"('2015-07-22', '2015-07-22', '2016-02-25', '2016-04-14', '2016-08-05')",437.0,"('BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'CONSTRUCTION')",3,2016,Under Construction,1.0,1.0,-122.446865116,37.711939710100005,RH-1,RH-1,1.1972602739726028,POINT (-122.446865116 37.7119397101),24,Outer Mission,Conventional Residential
134,10770,2011-09-29,4964 MISSION ST,6968002,2012-05-18,CONSTRUCTION,01/01/2013,2012-02-02,201007287648,2010-07-22,2010-07-28,2010-07-22,2012-05-18,CONSTRUCTION,"('2010-07-28', '2010-07-28', '2010-07-28', '2010-07-28', '2011-09-29', '2012-02-02', '2012-03-12', '2012-05-18', '2012-05-18', '2012-05-18')",894.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2012,Under Construction,3.0,3.0,-122.4393013,37.7187863,NC-3,NC-3,2.4493150684931506,POINT (-122.4393013 37.7187863),24,Outer Mission,Standard Commercial
4,21603,2008-01-25,270 OCEAN AV,3211010A,2015-06-26,CONSTRUCTION,01/01/2016,2015-01-30,200607186852.0,2006-07-18,2008-01-25,2006-07-18,2015-06-26,CONSTRUCTION,"('2008-01-25', '2008-01-25', '2008-01-25', '2008-01-25', '2008-01-25', '2008-01-25', '2008-01-25', '2008-01-25', '2008-01-25', '2008-01-25', '2008-01-25', '2008-01-25', '2008-01-25', '2013-06-20', '2014-04-15', '2014-04-15', '2015-01-30', '2015-04-09', '2015-06-26', '2015-06-26', '2015-06-26')",3454.0,"('BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,6.0,6.0,-122.442378086,37.7234742977,NC-1,NC-1,9.463013698630137,POINT (-122.442378086 37.7234742977),24,Outer Mission,Nhb Commercial
2875,9222,2010-03-31,248 OCEAN AV,3211009,2012-03-22,CONSTRUCTION,07/01/2012,2012-01-19,200711289148,2007-11-28,2007-11-28,2007-11-28,2012-03-22,CONSTRUCTION,"('2007-11-28', '2007-11-28', '2010-03-31', '2010-03-31', '2010-03-31', '2010-03-31', '2010-03-31', '2010-03-31', '2011-08-25', '2012-01-19', '2012-03-12', '2012-03-22')",1677.0,"('BP FILED', 'BP FILED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2012,Under Construction,4.0,4.0,-122.441951,37.723369,NC-1,NC-1,4.594520547945206,POINT (-122.441951 37.72336900000001),24,Outer Mission,Nhb Commercial
3196,27114,2016-05-09,60 NORTON ST,3148014A,2016-12-29,CONSTRUCTION,01/01/2017,2016-12-29,201511021415,2015-11-02,2015-11-02,2015-11-02,2016-12-29,CONSTRUCTION,"('2015-11-02', '2015-11-02', '2016-05-09', '2016-05-09', '2016-12-29')",426.0,"('BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",4,2016,Under Construction,1.0,1.0,-122.435859646,37.7252993496,RH-1,RH-1,1.167123287671233,POINT (-122.435859646 37.7252993496),24,Outer Mission,Conventional Residential
1719,3945,,2 ROUSSEAU ST,6747002,2008-10-16,CONSTRUCTION,10/01/2010,2008-10-16,200502236029,2005-02-23,2008-10-16,2005-02-23,2008-10-16,CONSTRUCTION,"('2008-10-16', '2008-10-16', '2008-10-16', '2008-10-16', '2008-10-16')",2046.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2010,Under Construction,2.0,2.0,-122.430259,37.73332,RH-2,RH-2,5.605479452054794,POINT (-122.430259 37.73332),24,Outer Mission,Conventional Residential
