,Unnamed: 0,Unnamed: 0.1,BP_date,address_x,aff,affnet,apn,best_date,best_stat,comp_date,con_date,dbi_permit,dropped_out,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,units,unitsnet,x,y,zoning,zoning_simplified,bp_duplicates,project_time_years,aff_address,address_y,Low Income Units,Placed in Service (PIS) Date ,iz_address,Total BMRs in this Building or Phase,Planning Approval Date,Completion Date,_merge,geometry,index_right,nhood,permit_time,bp_time,con_time,ptime_per_unit,bptime_per_unit,contime_per_unit,zone_class,year_start,first_year
1848,1848,0,,19 CAPP ST,,,3553047A,2011-01-13,CONSTRUCTION,04/01/2011,2011-01-13,201004231007,False,2010-04-23,2010-04-23,2010-04-23,2011-01-13,CONSTRUCTION,"('2010-04-23', '2010-04-23', '2011-01-13', '2011-01-13')",343.0,"('BP FILED', 'BP FILED', 'CONSTRUCTION', 'CONSTRUCTION')",1,2011,Under Construction,2.0,,-122.41839099999999,37.76641,RTO-M,RTO-M,False,0.9397260273972604,,,,,,,,,left_only,POINT (-122.418391 37.76641),18,Mission,,,0.2136986301369863,,,0.10684931506849316,Mixed Residential,2010,2010
1850,1850,0,2017-03-22,13 LUCKY ST,0.0,0.0,6521004,2017-03-22,BP APPROVED,,,201303212751,False,2013-03-21,2013-03-21,2013-03-21,2017-03-22,BP APPROVED,"('2013-03-21', '2013-03-21', '2013-03-21', '2013-03-21', '2013-03-21', '2013-03-21', '2013-03-21', '2013-03-21', '2013-03-21', '2013-03-21', '2013-03-21', '2013-03-21', '2013-03-21', '2013-03-21', '2013-03-21', '2017-03-22', '2017-03-22')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP APPROVED')",2,2017,Building Permit Approved,1.0,1.0,-122.41326141360001,37.7522354126,RH-2,RH-2,False,,,,,,,,,,left_only,POINT (-122.4132614136 37.7522354126),18,Mission,4.005479452054795,,,4.005479452054795,,,Conventional Residential,2013,2013
1859,1859,0,,1695 FOLSOM ST,0.0,0.0,3522074,2015-07-06,BP FILED,,,201507060742,False,2015-07-06,2015-07-06,2015-07-06,2015-07-06,BP FILED,"('2015-07-06', '2015-07-06', '2015-07-06', '2015-07-06', '2015-07-06', '2015-07-06', '2015-07-06', '2015-07-06')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,4.0,4.0,-122.4152526855,37.7697639465,,,False,,,,,,,,,,left_only,POINT (-122.4152526855 37.7697639465),18,Mission,,,,,,,,2015,2015
1860,1860,0,2015-05-08,3420 18TH ST,0.0,0.0,3576090,2017-09-19,CONSTRUCTION,,2015-07-30,201311041054,False,2013-03-25,2013-03-25,2013-03-25,2017-09-19,CONSTRUCTION,"('2013-03-25', '2013-03-25', '2013-03-25', '2013-11-04', '2013-11-04', '2013-11-04', '2013-11-04', '2013-11-04', '2015-05-08', '2015-07-30', '2015-10-05', '2015-10-05', '2015-10-05', '2015-10-05', '2016-09-28', '2016-11-09', '2016-11-09', '2017-09-19')",,"('PL FILED', 'PL FILED', 'PL FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2017,Under Construction,16.0,16.0,-122.4199829102,37.7620048523,Mission St NCT,Mission St NCT,False,,,,,,3420 18TH ST,0.0,12/16/2014,,both,POINT (-122.4199829102 37.7620048523),18,Mission,2.1205479452054794,0.2273972602739726,,0.13253424657534246,0.014212328767123288,,Nhb Commercial,2013,2013
1861,1861,0,2015-07-14,1181 VALENCIA ST,0.0,0.0,3636027,2017-08-15,CONSTRUCTION,,2016-06-30,201403100278,False,2014-03-10,2014-03-10,2014-03-10,2017-08-15,CONSTRUCTION,"('2014-03-10', '2014-03-10', '2014-03-10', '2014-03-10', '2014-03-10', '2015-07-14', '2015-08-10', '2015-08-10', '2015-08-10', '2016-06-30', '2016-07-18', '2016-12-19', '2017-01-18', '2017-08-15')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2017,Under Construction,1.0,1.0,-122.4204864502,37.7540664673,Valencia Street,Valencia Street,False,,,,,,,,,,left_only,POINT (-122.4204864502 37.7540664673),18,Mission,1.3452054794520547,0.9643835616438357,,1.3452054794520547,0.9643835616438357,,Other,2014,2014
1877,1877,0,,2410 MISSION ST,0.0,0.0,3609002,2016-08-29,BP FILED,,,201608296278,False,2016-08-29,2016-08-29,2016-08-29,2016-08-29,BP FILED,"('2016-08-29', '2016-08-29', '2016-08-29', '2016-08-29')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,8.0,8.0,-122.41932678219999,37.7583427429,,,False,,,,,,,,,,left_only,POINT (-122.4193267822 37.7583427429),18,Mission,,,,,,,,2016,2016
1878,1878,0,,80 SYCAMORE ST,0.0,0.0,3576076,2012-08-02,BP FILED,,,201208026449,True,2012-08-02,2012-08-02,2012-08-02,2012-08-02,BP FILED,"('2012-08-02', '2012-08-02', '2012-08-02', '2012-08-02', '2012-08-02', '2012-08-02', '2012-08-02', '2012-08-02', '2012-08-02', '2012-08-02', '2012-08-02', '2012-08-02', '2012-08-02', '2012-08-02', '2012-08-02')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,1.0,-122.421058,37.7627991082,RTO-M,RTO-M,False,,,,,,,,,,left_only,POINT (-122.421058 37.7627991082),18,Mission,,,,,,,Mixed Residential,2012,2012
1880,1880,0,2016-04-26,25 ALVARADO ST,0.0,0.0,3634025,2016-04-26,BP ISSUED,,,201410229595,False,2014-10-16,2014-10-22,2014-10-16,2016-04-26,BP ISSUED,"('2014-10-22', '2014-10-22', '2014-10-22', '2014-10-22', '2014-10-22', '2014-10-22', '2016-04-26', '2016-04-26', '2016-04-26', '2016-04-26', '2016-04-26')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",2,2017,Building Permit Approved,1.0,1.0,-122.4219055176,37.754196166999996,,,False,,,,,,,,,,left_only,POINT (-122.4219055176 37.754196167),18,Mission,1.5287671232876712,,,1.5287671232876712,,,,2014,2014
1889,1889,0,2009-08-20,1880 MISSION ST,25.0,25.0,3547002A,2013-05-15,CONSTRUCTION,07/01/2013,2012-01-31,200710014208,False,2003-07-10,2005-10-06,2003-07-10,2013-05-15,CONSTRUCTION,"('2005-10-06', '2009-08-20', '2009-08-20', '2009-08-20', '2009-08-20', '2009-08-20', '2009-08-20', '2009-08-20', '2012-01-31', '2012-03-09', '2012-07-11', '2012-10-11', '2012-12-06', '2013-03-11', '2013-05-15')",3644.0,"('PL APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2013,Under Construction,194.0,194.0,-122.42034699999999,37.767144,Mission Street,Mission Street,False,9.983561643835618,,,,,1880 MISSION ST,40.0,11/23/2009,01/01/2013,both,POINT (-122.420347 37.767144),18,Mission,6.117808219178082,2.4493150684931506,1.4164383561643836,0.03153509391328908,0.01262533540460387,0.0073012286400225964,Other,2003,2003
1893,1893,0,2017-03-31,978 - 980 GUERRERO ST,0.0,0.0,3618092,2017-03-31,BP ISSUED,,,201502178455,False,2014-09-05,2015-02-17,2014-09-05,2017-03-31,BP ISSUED,"('2015-02-17', '2015-02-17', '2015-02-17', '2015-02-17', '2015-02-17', '2015-02-17', '2015-02-17', '2015-02-17', '2017-03-31', '2017-03-31')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED')",2,2017,Building Permit Approved,1.0,1.0,-122.4235610962,37.755531311,,,False,,,,,,,,,,left_only,POINT (-122.4235610962 37.755531311),18,Mission,2.56986301369863,,,2.56986301369863,,,,2014,2014
1899,1899,0,,1726 - 1730 MISSION ST,0.0,0.0,3532005,2017-07-13,PL APPROVED,,,,False,2014-11-24,2015-07-14,2014-11-24,2017-07-13,PL APPROVED,"('2015-07-14', '2015-07-14', '2015-07-14', '2015-07-14', '2015-07-14', '2015-07-14', '2015-07-14', '2017-07-13')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL APPROVED')",2,2017,Proposed,36.0,36.0,-122.4204025269,37.769359588600004,,,True,,,,,,,,,,left_only,POINT (-122.4204025269 37.7693595886),18,Mission,,,,,,,,2014,2014
1918,1918,0,2014-05-14,987 DOLORES ST,0.0,0.0,3631017,2017-05-02,CONSTRUCTION,,2016-08-10,201405064989,False,2014-05-06,2014-05-14,2014-05-06,2017-05-02,CONSTRUCTION,"('2014-05-14', '2014-05-14', '2014-05-14', '2014-05-14', '2014-05-14', '2015-09-02', '2015-09-02', '2015-09-02', '2015-09-02', '2016-08-10', '2016-11-29', '2016-11-29', '2017-05-02')",,"('BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2017,Under Construction,1.0,1.0,-122.4249191284,37.7536697388,RM-1,RM-1,False,,,,,,,,,,left_only,POINT (-122.4249191284 37.7536697388),18,Mission,0.021917808219178082,2.243835616438356,,0.021917808219178082,2.243835616438356,,Industrial,2014,2014
1923,1923,0,2017-08-01,1801 AND 1863 MISSION ST,0.0,0.0,3548033,2017-08-01,BP ISSUED,,,201310038419,False,2009-10-23,2013-10-03,2009-10-23,2017-08-01,BP ISSUED,"('2013-10-03', '2013-10-03', '2013-10-03', '2013-10-03', '2013-10-03', '2017-08-01')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED')",2,2017,Building Permit Approved,54.0,54.0,-122.41946411129999,37.7672653198,,,False,,,,,,,,,,left_only,POINT (-122.4194641113 37.7672653198),18,Mission,7.778082191780822,,,0.14403855910705227,,,,2009,2009
1938,1938,0,2014-03-03,858 FLORIDA ST,,,4085010,2014-09-02,CONSTRUCTION,10/01/2014,2014-05-16,201307252819,False,2013-07-25,2013-07-25,2013-07-25,2014-09-02,CONSTRUCTION,"('2013-07-25', '2013-10-28', '2014-03-03', '2014-05-16', '2014-09-02')",433.0,"('BP FILED', 'PL FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",3,2014,Under Construction,1.0,1.0,-122.41055800000001,37.758067,RH-2,RH-2,False,1.1863013698630136,,,,,,,,,left_only,POINT (-122.410558 37.758067),18,Mission,0.6054794520547945,0.20273972602739726,0.3780821917808219,0.6054794520547945,0.20273972602739726,0.3780821917808219,Conventional Residential,2013,2013
1941,1941,0,2008-04-01,277 SAN CARLOS ST,,,3596017A,2012-03-05,CONSTRUCTION,07/01/2012,2012-01-20,200710195923,False,2007-10-19,2008-04-01,2007-10-19,2012-03-05,CONSTRUCTION,"('2008-04-01', '2008-04-01', '2008-04-01', '2008-04-01', '2008-04-01', '2008-04-01', '2011-03-16', '2011-06-29', '2011-06-29', '2012-01-20', '2012-03-05', '2012-03-05')",1717.0,"('BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2012,Under Construction,2.0,2.0,-122.419683,37.759042,NC-1,NC-1,False,4.704109589041097,,,,,,,,,left_only,POINT (-122.419683 37.759042),18,Mission,0.4520547945205479,3.8054794520547945,0.4465753424657534,0.22602739726027396,1.9027397260273973,0.2232876712328767,Nhb Commercial,2007,2007
1944,1944,0,2016-11-14,206 SAN JOSE AV,0.0,0.0,6513053,2017-09-26,CONSTRUCTION,,2017-09-26,201601086723,False,2016-01-08,2016-01-08,2016-01-08,2017-09-26,CONSTRUCTION,"('2016-01-08', '2016-01-08', '2016-01-08', '2016-11-14', '2016-11-14', '2017-09-26')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",2,2017,Under Construction,1.0,1.0,-122.4218444824,37.75182724,,,False,,,,,,,,,,left_only,POINT (-122.4218444824 37.75182724),18,Mission,0.852054794520548,0.8657534246575342,,0.852054794520548,0.8657534246575342,,,2016,2016
1953,1953,0,2013-06-07,2558 MISSION ST,,,3616007,2014-09-11,CONSTRUCTION,10/01/2014,2014-01-02,201301168124,False,2005-12-21,2005-12-21,2005-12-21,2014-09-11,CONSTRUCTION,"('2005-12-21', '2005-12-21', '2005-12-21', '2005-12-21', '2005-12-21', '2013-01-16', '2013-06-07', '2013-06-07', '2014-01-02', '2014-03-27', '2014-06-24', '2014-09-11')",3206.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2014,Under Construction,114.0,114.0,-122.418986,37.75611,Mission St NCT,Mission St NCT,False,8.783561643835617,,,,,,,,,left_only,POINT (-122.418986 37.75611),18,Mission,7.465753424657534,0.5726027397260274,0.7452054794520548,0.06548906512857486,0.00502283105022831,0.00653689017063206,Nhb Commercial,2005,2005
1961,1961,0,2010-07-30,1376 FLORIDA ST,,,4272014,2011-09-20,CONSTRUCTION,01/01/2012,2011-09-20,200903274981,False,2009-02-19,2009-03-27,2009-02-19,2011-09-20,CONSTRUCTION,"('2009-03-27', '2009-03-27', '2009-03-27', '2009-03-27', '2010-07-30', '2010-07-30', '2010-07-30', '2011-05-10', '2011-09-20', '2011-09-20')",1046.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",4,2011,Under Construction,1.0,1.0,-122.40995600000001,37.749990000000004,RH-2,RH-2,False,2.8657534246575342,,,,,,,,,left_only,POINT (-122.409956 37.74999),18,Mission,1.441095890410959,1.1424657534246576,0.2821917808219178,1.441095890410959,1.1424657534246576,0.2821917808219178,Conventional Residential,2009,2009
1992,1992,0,2009-11-23,161 SAN CARLOS ST,0.0,0.0,3589026,2009-11-23,BP ISSUED,,,200902041380,True,2009-02-04,2009-02-04,2009-02-04,2009-11-23,BP ISSUED,"('2009-02-04', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23', '2009-11-23')",,"('BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",4,2016,Building Permit Approved,1.0,1.0,-122.41982828200001,37.7608311337,RTO-M,RTO-M,False,,,,,,,,,,left_only,POINT (-122.419828282 37.7608311337),18,Mission,0.8,,,0.8,,,Mixed Residential,2009,2009
2006,2006,0,,3441-3447 20TH ST,0.0,0.0,3610047,2015-01-09,BP FILED,,,201501095338,True,2008-11-05,2015-01-09,2008-11-05,2015-01-09,BP FILED,"('2015-01-09', '2015-01-09', '2015-01-09', '2015-01-09')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",4,2016,Proposed,1.0,1.0,-122.41773600299999,37.7584869694,RTO-M,RTO-M,False,,,,,,,,,,left_only,POINT (-122.417736003 37.7584869694),18,Mission,,,,,,,Mixed Residential,2008,2008
2012,2012,0,,1125 HAMPSHIRE ST,0.0,0.0,4211021,2016-01-27,BP FILED,,,201601278140,True,2015-11-13,2015-12-04,2015-11-13,2016-01-27,BP FILED,"('2015-12-04', '2015-12-04', '2015-12-04', '2016-01-27')",,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'BP FILED')",3,2016,Proposed,1.0,1.0,-122.407079092,37.7535928388,RH-2,RH-2,False,,,,,,,,,,left_only,POINT (-122.407079092 37.7535928388),18,Mission,,,,,,,Conventional Residential,2015,2015
2014,2014,0,2015-08-03,811 CAPP ST,0.0,0.0,3642062,2015-11-20,BP ISSUED,,,201210172213,False,2012-10-17,2012-10-17,2012-10-17,2015-11-20,BP ISSUED,"('2012-10-17', '2015-08-03', '2015-08-21', '2015-11-20', '2015-11-20', '2015-11-20', '2015-11-20', '2015-11-20', '2015-11-20')",,"('BP FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",1,2017,Building Permit Approved,1.0,1.0,-122.41716492,37.753691212199996,RTO-M,RTO-M,False,,,,,,,,,,left_only,POINT (-122.41716492 37.7536912122),18,Mission,2.7945205479452055,,,2.7945205479452055,,,Mixed Residential,2012,2012
2026,2026,0,,2750 19TH ST,0.0,0.0,4023004A,2014-11-17,PL FILED,,,,False,2014-11-17,2014-11-17,2014-11-17,2014-11-17,PL FILED,"('2014-11-17', '2014-11-17', '2014-11-17', '2014-11-17', '2014-11-17', '2014-11-17', '2014-11-17', '2014-11-17')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",2,2017,Proposed,60.0,60.0,-122.4097137451,37.760799408000004,,,True,,,,,,,,,,left_only,POINT (-122.4097137451 37.760799408),18,Mission,,,,,,,,2014,2014
2079,2079,0,,1245 DOLORES ST,,,6534024,2006-11-30,CONSTRUCTION,10/01/2013,2006-11-30,200007074553,False,2000-07-07,2006-11-30,2000-07-07,2006-11-30,CONSTRUCTION,"('2006-11-30', '2006-11-30', '2006-11-30', '2006-11-30', '2006-11-30')",4834.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2013,Under Construction,1.0,1.0,-122.424732,37.749342999999996,RH-3,RH-3,False,13.243835616438355,,,,,,,,,left_only,POINT (-122.424732 37.749343),18,Mission,,,6.841095890410959,,,6.841095890410959,Conventional Residential,2000,2000
2083,2083,0,2010-08-30,2374 FOLSOM ST,0.0,0.0,3594009,2012-05-10,CONSTRUCTION,04/01/2016,2011-08-01,200701292823,False,2007-01-29,2007-01-29,2007-01-29,2012-05-10,CONSTRUCTION,"('2007-01-29', '2007-01-29', '2007-01-29', '2007-01-29', '2010-08-30', '2010-08-30', '2010-08-30', '2010-08-30', '2011-08-01', '2011-12-29', '2011-12-29', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10')",3350.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2016,Under Construction,2.0,2.0,-122.41508799999998,37.7593457298,RM-1,RM-1,False,9.178082191780822,,,,,,,,,left_only,POINT (-122.415088 37.7593457298),18,Mission,3.5863013698630137,0.9205479452054794,4.671232876712328,1.7931506849315069,0.4602739726027397,2.335616438356164,Industrial,2007,2007
2090,2090,0,2009-09-03,3645 23RD ST,,,3647032,2010-03-29,CONSTRUCTION,10/01/2010,2009-12-07,200710125328,False,2007-10-12,2009-09-03,2007-10-12,2010-03-29,CONSTRUCTION,"('2009-09-03', '2009-12-07', '2010-03-29', '2010-03-29', '2010-03-29')",1085.0,"('BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2010,Under Construction,1.0,1.0,-122.42398700000001,37.753417,RH-3,RH-3,False,2.9726027397260277,,,,,,,,,left_only,POINT (-122.423987 37.753417),18,Mission,1.895890410958904,0.2602739726027397,0.8164383561643835,1.895890410958904,0.2602739726027397,0.8164383561643835,Conventional Residential,2007,2007
2093,2093,0,2015-05-29,1450 15TH ST,0.0,0.0,3549064,2016-11-07,CONSTRUCTION,,2016-02-04,201306280738,False,2004-06-10,2004-06-10,2004-06-10,2016-11-07,CONSTRUCTION,"('2004-06-10', '2013-06-28', '2013-06-28', '2013-06-28', '2013-06-28', '2013-06-28', '2013-06-28', '2013-06-28', '2015-05-29', '2015-05-29', '2015-05-29', '2015-05-29', '2016-02-04', '2016-06-06', '2016-09-20', '2016-11-07', '2016-11-07', '2016-11-07')",,"('PL FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2017,Under Construction,23.0,23.0,-122.41683197020001,37.7670898438,UMU,UMU,False,,,,,,1450 15TH ST,0.0,12/11/2014,,both,POINT (-122.4168319702 37.7670898438),18,Mission,10.972602739726028,0.6876712328767123,,0.4770696843359143,0.02989874925550923,,Other,2004,2004
2098,2098,0,,3547 20TH ST,,,3609082,2007-03-07,BP FILED,,,200703075671,True,2007-03-07,2007-03-07,2007-03-07,2007-03-07,BP FILED,"('2007-03-07', '2007-03-07', '2007-03-07', '2007-03-07', '2007-03-07', '2007-03-07', '2007-03-07', '2007-03-07', '2007-03-07')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",3,2011,Proposed,1.0,1.0,-122.42007,37.75843,Valencia Street,Valencia Street,False,,,,,,,,,,left_only,POINT (-122.42007 37.75843),18,Mission,,,,,,,Other,2007,2007
2107,2107,0,2013-12-18,263 LEXINGTON ST,,,3596059,2014-03-20,CONSTRUCTION,04/01/2014,2014-03-20,201305287999,False,2013-05-28,2013-05-28,2013-05-28,2014-03-20,CONSTRUCTION,"('2013-05-28', '2013-05-28', '2013-12-18', '2014-03-20')",308.0,"('BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION')",1,2014,Under Construction,1.0,1.0,-122.420376,37.7591939,RTO,RTO,False,0.8438356164383561,,,,,,,,,left_only,POINT (-122.420376 37.7591939),18,Mission,0.5589041095890411,0.25205479452054796,0.03287671232876712,0.5589041095890411,0.25205479452054796,0.03287671232876712,Mixed Residential,2013,2013
2110,2110,0,2017-08-17,668 GUERRERO ST,0.0,0.0,3587011,2017-08-17,BP ISSUED,,,201603182471,False,2016-03-18,2016-03-18,2016-03-18,2017-08-17,BP ISSUED,"('2016-03-18', '2016-03-18', '2016-03-18', '2016-03-18', '2016-03-18', '2017-08-17')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED')",2,2017,Building Permit Approved,3.0,3.0,-122.42400360110001,37.7604484558,,,False,,,,,,,,,,left_only,POINT (-122.4240036011 37.7604484558),18,Mission,1.4164383561643836,,,0.4721461187214612,,,,2016,2016
2131,2131,0,2012-03-05,1115 POTRERO AV,0.0,0.0,4212011,2012-03-05,BP APPROVED,,,201109215213,True,2011-09-21,2011-09-21,2011-09-21,2012-03-05,BP APPROVED,"('2011-09-21', '2011-09-21', '2012-03-05', '2012-03-05', '2012-03-05', '2012-03-05', '2012-03-05', '2012-03-05', '2012-03-05', '2012-03-05', '2012-03-05', '2012-03-05', '2012-03-05', '2012-03-05', '2012-03-05', '2012-03-05', '2012-03-05', '2012-03-05', '2012-03-05', '2012-03-05', '2012-03-05', '2012-03-05')",,"('BP FILED', 'BP FILED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED')",4,2016,Building Permit Approved,1.0,1.0,-122.406082576,37.7540362502,RH-3,RH-3,False,,,,,,,,,,left_only,POINT (-122.406082576 37.7540362502),18,Mission,0.4547945205479452,,,0.4547945205479452,,,Conventional Residential,2011,2011
2132,2132,0,,645 - 647 VALENCIA ST,0.0,0.0,3576062,2017-02-13,PL APPROVED,,,201611142504,False,2013-09-19,2015-03-05,2013-09-19,2017-02-13,PL APPROVED,"('2015-03-05', '2015-03-05', '2016-11-14', '2017-02-13', '2017-02-13')",,"('BP FILED', 'BP FILED', 'BP FILED', 'PL APPROVED', 'PL APPROVED')",2,2017,Proposed,7.0,7.0,-122.42137146,37.7625007629,,,False,,,,,,,,,,left_only,POINT (-122.42137146 37.7625007629),18,Mission,,,,,,,,2013,2013
